,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,País,To Pais
6210,Daniel Arce,https://www.transfermarkt.com/daniel-arce/profil/spieler/195530,"Jul 1, 2013",Plaza Amador,Belén FC,"Feb 17, 1986 ",34.0,No national team players,-,€100Th.,Centre-Back,Panamá,Costa Rica
6211,José Leitón,https://www.transfermarkt.com/jose-leiton/profil/spieler/278826,"Jan 1, 2015",CS Uruguay,CS Uruguay II,"Aug 6, 1993 ",27.0,Costa RicaNo current national team players,1,€75Th.,Left Midfield,Costa Rica,Costa Rica
6212,Diego Solano,https://www.transfermarkt.com/diego-solano/profil/spieler/257371,"Jul 1, 2014",CS Uruguay,CS Uruguay II,"Sep 14, 1993 ",26.0,No national team players,-,€50Th.,Midfielder,Costa Rica,Costa Rica
6213,Kendall Grant,https://www.transfermarkt.com/kendall-grant/profil/spieler/307264,"Jan 1, 2015",CS Uruguay,CS Uruguay II,"Feb 19, 1993 ",27.0,No national team players,-,-,Forward,Costa Rica,Costa Rica
6214,Pablo Madriz,https://www.transfermarkt.com/pablo-madriz/profil/spieler/344025,"Jan 1, 2016",CS Uruguay,CS Uruguay II,"Nov 7, 1995 ",24.0,No national team players,-,€50Th.,Defender,Costa Rica,Costa Rica
6215,Jeffry Montenegro,https://www.transfermarkt.com/jeffry-montenegro/profil/spieler/278829,"Jan 1, 2016",CS Uruguay,CS Uruguay II,"Apr 22, 1995 ",25.0,No national team players,-,-,Forward,Costa Rica,Costa Rica
6216,Johan Bonilla,https://www.transfermarkt.com/johan-bonilla/profil/spieler/431126,"Jan 1, 2016",Herediano U20,CS Uruguay II,"May 30, 1996 ",24.0,No national team players,-,-,Attacking Midfield,Costa Rica,Costa Rica
6217,Allan Cruz,https://www.transfermarkt.com/allan-cruz/profil/spieler/313234,"Jul 1, 2012",Unknown,CS Uruguay II,"Feb 24, 1996 ",24.0,Costa RicaNo current national team players,17,€650Th.,Central Midfield,Unknown,Costa Rica
6218,Kelvin Acuña,https://www.transfermarkt.com/kelvin-acuna/profil/spieler/314408,"Jul 1, 2015",Turrialba,CS Uruguay II,"Jan 20, 1995 ",25.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6219,Reiby Smith,https://www.transfermarkt.com/reiby-smith/profil/spieler/243009,"Jan 1, 2013",CS Uruguay,AD Aserrí,"Oct 31, 1992 ",27.0,No national team players,-,-,Right Midfield,Costa Rica,Costa Rica
6220,Elberson Osorno,https://www.transfermarkt.com/elberson-osorno/profil/spieler/268136,"Jul 1, 2015",Belén FC,AD Aserrí,"Mar 28, 1995 ",25.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
6221,Julián Maroto,https://www.transfermarkt.com/julian-maroto/profil/spieler/241217,"Jul 1, 2015",Gen. Saprissa,AD Aserrí,"May 2, 1993 ",27.0,No national team players,-,€100Th.,Central Midfield,Costa Rica,Costa Rica
6222,Jorge Jiménez,https://www.transfermarkt.com/jorge-jimenez/profil/spieler/321336,"Jan 1, 2015",Gen. Saprissa,AD Aserrí,"Mar 4, 1989 ",31.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6223,Daniel Zamora,https://www.transfermarkt.com/daniel-zamora/profil/spieler/194937,"Jul 1, 2017",UCR,AD Aserrí,"Sep 2, 1993 ",26.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
6224,Jorge Davis,https://www.transfermarkt.com/jorge-davis/profil/spieler/132226,"Jul 1, 2017",UCR,AD Aserrí,"Nov 8, 1985 ",34.0,Costa RicaNo current national team players,4,-,Defensive Midfield,Costa Rica,Costa Rica
6225,Érick Araya,https://www.transfermarkt.com/erick-araya/profil/spieler/278147,"Jan 5, 2014",UCR,AD Aserrí,"May 14, 1982 ",38.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
6226,Lopsang Balmaceda,https://www.transfermarkt.com/lopsang-balmaceda/profil/spieler/336401,"Jul 1, 2017",UCR,AD Aserrí,"Jan 24, 1996 ",24.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
6227,Johnny Chacón,https://www.transfermarkt.com/johnny-chacon/profil/spieler/229928,"Jul 1, 2012",AD Carmelita,AD Aserrí,"Oct 5, 1986 ",33.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
6228,Irvin Huertas,https://www.transfermarkt.com/irvin-huertas/profil/spieler/131252,"Jan 1, 2013",Herediano,AD Aserrí,"Feb 21, 1993 ",27.0,Costa RicaNo current national team players,-,€125Th.,Centre-Forward,Costa Rica,Costa Rica
6229,Jonathan Valerio,https://www.transfermarkt.com/jonathan-valerio/profil/spieler/122587,"Jul 1, 2008",Herediano,AD Aserrí,"Mar 10, 1986 ",34.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
6230,Gerald Ramírez,https://www.transfermarkt.com/gerald-ramirez/profil/spieler/242835,"Jan 1, 2011",Santos FC,AD Aserrí,"Mar 10, 1986 ",34.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
6231,Mauricio Montero,https://www.transfermarkt.com/mauricio-montero/profil/spieler/194924,"Jul 1, 2010",Cartaginés,AD Aserrí,"Mar 28, 1987 ",33.0,Costa RicaNo current national team players,-,€200Th.,Defensive Midfield,Costa Rica,Costa Rica
6232,Keishan Davis,https://www.transfermarkt.com/keishan-davis/profil/spieler/253146,"Jul 1, 2015",Limón FC,AD Aserrí,"Jun 16, 1992 ",28.0,No national team players,-,-,Right Midfield,Costa Rica,Costa Rica
6233,Robert Garbanzo,https://www.transfermarkt.com/robert-garbanzo/profil/spieler/38229,"Jan 1, 2010",Grecia,AD Aserrí,"May 9, 1982 ",38.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6234,Kendall Grant,https://www.transfermarkt.com/kendall-grant/profil/spieler/307264,"Jul 1, 2015",CS Uruguay II,AD Aserrí,"Feb 19, 1993 ",27.0,No national team players,-,-,Forward,Costa Rica,Costa Rica
6235,Tony Morales,https://www.transfermarkt.com/tony-morales/profil/spieler/232761,"Jan 1, 2013",Herediano U20,AD Aserrí,"Nov 28, 1993 ",26.0,No national team players,-,€50Th.,Midfielder,Costa Rica,Costa Rica
6236,Andrey Arias,https://www.transfermarkt.com/andrey-arias/profil/spieler/278382,"Jan 1, 2016",Herediano U20,AD Aserrí,"Nov 1, 1995 ",24.0,No national team players,-,-,Forward,Costa Rica,Costa Rica
6237,Jonathan Jiménez,https://www.transfermarkt.com/jonathan-jimenez/profil/spieler/121691,"Sep 1, 2012",Liberia,AD Aserrí,"Oct 28, 1988 ",31.0,No national team players,-,€75Th.,Defensive Midfield,Costa Rica,Costa Rica
6238,Roy Benavides,https://www.transfermarkt.com/roy-benavides/profil/spieler/281088,"Jul 1, 2013",Unknown,AD Aserrí,"Jul 25, 1991 ",29.0,No national team players,-,-,Defender,Unknown,Costa Rica
6239,Raudy Rodríguez,https://www.transfermarkt.com/raudy-rodriguez/profil/spieler/281103,"Jan 1, 2013",Unknown,AD Aserrí,"Apr 8, 1991 ",29.0,No national team players,-,-,Goalkeeper,Unknown,Costa Rica
6240,Josué Arroyo,https://www.transfermarkt.com/josue-arroyo/profil/spieler/330621,"Jul 1, 2015",Unknown,AD Aserrí,"Jun 21, 1990 ",30.0,No national team players,-,-,Midfielder,Unknown,Costa Rica
6241,Cristian González,https://www.transfermarkt.com/cristian-gonzalez/profil/spieler/267470,"Jul 1, 2012",Unknown,AD Aserrí,"Jan 18, 1990 ",30.0,No national team players,-,-,Forward,Unknown,Costa Rica
6242,Marvin Vargas,https://www.transfermarkt.com/marvin-vargas/profil/spieler/268435,"Jul 1, 2013",Unknown,AD Aserrí,"Nov 25, 1988 ",31.0,No national team players,-,-,Forward,Unknown,Costa Rica
6243,Gerald Ramírez,https://www.transfermarkt.com/gerald-ramirez/profil/spieler/242835,"Jan 1, 2014",Unknown,AD Aserrí,"Mar 10, 1986 ",34.0,No national team players,-,-,Goalkeeper,Unknown,Costa Rica
6244,Diego Zamora,https://www.transfermarkt.com/diego-zamora/profil/spieler/384162,"Jul 1, 2014",Unknown,AD Aserrí,"Nov 12, 1985 ",34.0,No national team players,-,-,Midfielder,Unknown,Costa Rica
6245,Heliut Farrier,https://www.transfermarkt.com/heliut-farrier/profil/spieler/214934,"Jan 1, 2018",Unknown,AD Aserrí,"Apr 25, 1983 ",37.0,No national team players,-,-,Defensive Midfield,Unknown,Costa Rica
6246,Roy Clark,https://www.transfermarkt.com/roy-clark/profil/spieler/281762,"Jul 1, 2016",Unknown,AD Aserrí,"Aug 1, 1983 ",37.0,No national team players,-,-,Centre-Forward,Unknown,Costa Rica
6247,Randy Cubero,https://www.transfermarkt.com/randy-cubero/profil/spieler/90837,"Jul 1, 2014",Unknown,AD Aserrí,"Nov 28, 1982 ",37.0,No national team players,-,-,Defensive Midfield,Unknown,Costa Rica
6248,William Phillips,https://www.transfermarkt.com/william-phillips/profil/spieler/193620,"Jul 1, 2013",Mpl Turrialba,AD Aserrí,"Mar 12, 1984 ",36.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
6249,Rodinei Céspedes,https://www.transfermarkt.com/rodinei-cespedes/profil/spieler/380210,"Jul 1, 2016",Cariari Pococí,AD Aserrí,"May 6, 1994 ",26.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
6250,Aczel Salguero,https://www.transfermarkt.com/aczel-salguero/profil/spieler/380190,"Jan 1, 2017",Barrio México,AD Aserrí,"Dec 16, 1992 ",27.0,No national team players,-,-,Attacking Midfield,Costa Rica,Costa Rica
6251,Raudy Rodríguez,https://www.transfermarkt.com/raudy-rodriguez/profil/spieler/281103,"Jul 1, 2014",Barrio México,AD Aserrí,"Apr 8, 1991 ",29.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
6252,Félix Torres,https://www.transfermarkt.com/felix-torres/profil/spieler/414744,"Jul 1, 2012",Barrio México,AD Aserrí,"Mar 28, 1991 ",29.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
6253,Juan Luis Jawnyj,https://www.transfermarkt.com/juan-luis-jawnyj/profil/spieler/380218,"Jan 1, 2017",Barrio México,AD Aserrí,"May 22, 1991 ",29.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
6254,Josué Arroyo,https://www.transfermarkt.com/josue-arroyo/profil/spieler/330621,"Jul 1, 2012",Barrio México,AD Aserrí,"Jun 21, 1990 ",30.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6255,Marco Solano,https://www.transfermarkt.com/marco-solano/profil/spieler/257789,"Jul 1, 2016",Barrio México,AD Aserrí,"Aug 8, 1992 ",28.0,No national team players,-,-,Central Midfield,Costa Rica,Costa Rica
6256,Ronny Díaz,https://www.transfermarkt.com/ronny-diaz/profil/spieler/230096,"Jul 1, 2017",Barrio México,AD Aserrí,"Sep 16, 1986 ",33.0,No national team players,-,-,Right Midfield,Costa Rica,Costa Rica
6257,Marvin Vargas,https://www.transfermarkt.com/marvin-vargas/profil/spieler/268435,"Jul 1, 2011",Brujas FC,AD Aserrí,"Nov 25, 1988 ",31.0,No national team players,-,-,Forward,Costa Rica,Costa Rica
6258,Christian Sánchez,https://www.transfermarkt.com/christian-sanchez/profil/spieler/278618,"Jan 1, 2015",Jacó Rays,AD Aserrí,"Jan 28, 1992 ",28.0,No national team players,-,-,Defender,Costa Rica,Costa Rica
6259,Frank Zamora,https://www.transfermarkt.com/frank-zamora/profil/spieler/248369,"Jan 18, 2017",ADR Jicaral,AD Aserrí,"Aug 16, 1991 ",29.0,Costa RicaNo current national team players,-,€200Th.,Centre-Forward,Costa Rica,Costa Rica
6260,Carlos Chaves,https://www.transfermarkt.com/carlos-chaves/profil/spieler/278351,"Jul 1, 2015",ADR Jicaral,AD Aserrí,"Jul 27, 1991 ",29.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
6261,Carlos Sánchez,https://www.transfermarkt.com/carlos-sanchez/profil/spieler/222356,"Jul 1, 2013",AS Puma,AD Aserrí,"Jun 18, 1990 ",30.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6262,Roberto Mudarra,https://www.transfermarkt.com/roberto-mudarra/profil/spieler/132228,"Jul 1, 2016",AS Puma,AD Aserrí,"Jun 14, 1985 ",35.0,Costa RicaNo current national team players,1,-,Left Midfield,Costa Rica,Costa Rica
6263,Kelvin Acuña,https://www.transfermarkt.com/kelvin-acuna/profil/spieler/314408,"Jul 1, 2017",Turrialba,AD Aserrí,"Jan 20, 1995 ",25.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6264,Derek Salas,https://www.transfermarkt.com/derek-salas/profil/spieler/471018,"Jan 1, 2018",PZ U20,AD Aserrí,"Dec 12, 1998 ",21.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6265,Wálter Villalobos,https://www.transfermarkt.com/walter-villalobos/profil/spieler/255815,"Sep 22, 2011",Guanacasteca,AD Aserrí,"Nov 26, 1986 ",33.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6266,Ricardo Valle,https://www.transfermarkt.com/ricardo-valle/profil/spieler/225705,"Jan 1, 2017",Juv. Escazuceña,AD Aserrí,"Nov 23, 1992 ",27.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
6267,David Guzmán,https://www.transfermarkt.com/david-guzman/profil/spieler/211482,"Jan 1, 2015",Juv. Escazuceña,AD Aserrí,"Sep 7, 1989 ",30.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
6268,Louie Carr,https://www.transfermarkt.com/louie-carr/profil/spieler/194514,"Jan 1, 2014",Juv. Escazuceña,AD Aserrí,"Aug 20, 1991 ",29.0,No national team players,-,-,Right Midfield,Costa Rica,Costa Rica
6269,Roy Clark,https://www.transfermarkt.com/roy-clark/profil/spieler/281762,"Jan 5, 2014",Juv. Escazuceña,AD Aserrí,"Aug 1, 1983 ",37.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
6270,Raúl Fernández,https://www.transfermarkt.com/raul-fernandez/profil/spieler/214819,"Jul 1, 2013",Coto Brus,AD Aserrí,"Jul 29, 1984 ",36.0,No national team players,-,-,Left-Back,Costa Rica,Costa Rica
6271,Rafael Gamboa,https://www.transfermarkt.com/rafael-gamboa/profil/spieler/217224,"Jan 1, 2017",Dayton Flyers,AD Aserrí,"Jan 6, 1994 ",26.0,No national team players,-,-,Defensive Midfield,USA,Costa Rica
6272,Quiver Herrera,https://www.transfermarkt.com/quiver-herrera/profil/spieler/496178,"Jul 1, 2017",UCR II,AD Aserrí,"Jan 12, 1996 ",24.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6273,Allan Carrillo,https://www.transfermarkt.com/allan-carrillo/profil/spieler/500964,"Jan 1, 2018",UCR II,AD Aserrí,"Apr 12, 1998 ",22.0,No national team players,-,€50Th.,Goalkeeper,Costa Rica,Costa Rica
6274,Marcelo Pernett,https://www.transfermarkt.com/marcelo-pernett/profil/spieler/483589,"Jan 1, 2018",UCR II,AD Aserrí,"Feb 8, 1998 ",22.0,No national team players,-,-,Defender,Costa Rica,Costa Rica
6275,Carlos Ruiz,https://www.transfermarkt.com/carlos-ruiz/profil/spieler/447456,"Jan 1, 2018",UCR II,AD Aserrí,"Oct 10, 1998 ",21.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6276,Josué Valverde,https://www.transfermarkt.com/josue-valverde/profil/spieler/501759,"Jul 1, 2017",UCR II,AD Aserrí,"Jun 20, 1998 ",22.0,No national team players,-,-,Defender,Costa Rica,Costa Rica
6277,Esteban Rodríguez,https://www.transfermarkt.com/esteban-rodriguez/profil/spieler/141309,"Jan 1, 2013",Ramonense,AD Aserrí,"Jan 25, 1988 ",32.0,No national team players,-,€150Th.,Central Midfield,Costa Rica,Costa Rica
6278,Óscar Villalobos,https://www.transfermarkt.com/oscar-villalobos/profil/spieler/195425,"Jan 1, 2017",Osa CF,AD Aserrí,"Aug 15, 1990 ",30.0,No national team players,-,-,Defensive Midfield,Costa Rica,Costa Rica
6279,Ricardo Venegas,https://www.transfermarkt.com/ricardo-venegas/profil/spieler/384161,"Jul 1, 2010",Aserrí Youth,AD Aserrí,"Nov 4, 1990 ",29.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
6280,Italo Marenco,https://www.transfermarkt.com/italo-marenco/profil/spieler/281776,"Jul 1, 2011",AD Desamparados,AD Aserrí,"Feb 10, 1983 ",37.0,No national team players,-,-,Defender,Costa Rica,Costa Rica
6281,Eduardo Salas,https://www.transfermarkt.com/eduardo-salas/profil/spieler/388448,"Jan 1, 2017",Real Madriz,AD Aserrí,"Mar 20, 1995 ",25.0,No national team players,-,-,Midfielder,Nicaragua,Costa Rica
6282,Brandón Welleams,https://www.transfermarkt.com/brandon-welleams/profil/spieler/236380,"Jan 1, 2015",CS Uruguay,Real Pococí,"Mar 10, 1994 ",26.0,No national team players,-,-,Defensive Midfield,Costa Rica,Costa Rica
6283,Starling Matarrita,https://www.transfermarkt.com/starling-matarrita/profil/spieler/195282,"Feb 4, 2016",AD Carmelita,Real Pococí,"Jun 20, 1990 ",30.0,No national team players,-,€175Th.,Centre-Forward,Costa Rica,Costa Rica
6284,Diego Gallo,https://www.transfermarkt.com/diego-gallo/profil/spieler/261193,"Jul 1, 2014",Santos FC,Real Pococí,"Feb 16, 1986 ",34.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6285,Gerald López,https://www.transfermarkt.com/gerald-lopez/profil/spieler/309861,"Jul 1, 2014",Santos FC,Real Pococí,"Jan 5, 1989 ",31.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6286,Jeancarlo Badilla,https://www.transfermarkt.com/jeancarlo-badilla/profil/spieler/235432,"Jul 1, 2015",Santos FC,Real Pococí,"Jun 20, 1995 ",25.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
6287,Carlos León,https://www.transfermarkt.com/carlos-leon/profil/spieler/195281,"Jan 1, 2015",Limón FC,Real Pococí,"Nov 5, 1988 ",31.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
6288,Álvaro Astua,https://www.transfermarkt.com/alvaro-astua/profil/spieler/234460,"Jan 1, 2015",Unknown,Real Pococí,"Nov 22, 1992 ",27.0,No national team players,-,-,Attacking Midfield,Unknown,Costa Rica
6289,Edwin Leal,https://www.transfermarkt.com/edwin-leal/profil/spieler/263074,"Jul 1, 2015",Unknown,Real Pococí,"Jan 22, 1992 ",28.0,No national team players,-,-,Midfielder,Unknown,Costa Rica
6290,José Luis Mora,https://www.transfermarkt.com/jose-luis-mora/profil/spieler/386537,"Jul 1, 2014",Unknown,Real Pococí,"Apr 25, 1992 ",28.0,No national team players,-,-,Midfielder,Unknown,Costa Rica
6291,William Phillips,https://www.transfermarkt.com/william-phillips/profil/spieler/193620,"Aug 16, 2014",AD Aserrí,Real Pococí,"Mar 12, 1984 ",36.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
6292,Owen Solís,https://www.transfermarkt.com/owen-solis/profil/spieler/266726,"Jan 1, 2015",Without Club,Real Pococí,"May 12, 1987 ",33.0,No national team players,-,€250Th.,Centre-Back,Without Club,Costa Rica
6293,Maikol Barrantes,https://www.transfermarkt.com/maikol-barrantes/profil/spieler/383938,"Jul 1, 2015",ADF Siquirreña,Real Pococí,"Nov 13, 1992 ",27.0,No national team players,-,€75Th.,Left-Back,Costa Rica,Costa Rica
6294,Eduardo Touborne,https://www.transfermarkt.com/eduardo-touborne/profil/spieler/195423,"Jul 1, 2015",Turrialba,Real Pococí,"Feb 24, 1990 ",30.0,No national team players,-,-,Left-Back,Costa Rica,Costa Rica
6295,Marlon Arias,https://www.transfermarkt.com/marlon-arias/profil/spieler/90830,"Jul 1, 2014",AD Guajira,Real Pococí,"Jul 9, 1985 ",35.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6296,Carlos Hernández,https://www.transfermarkt.com/carlos-hernandez/profil/spieler/122699,"Jul 1, 2016",CS Uruguay,Aragua FC,"Aug 29, 1989 ",30.0,No national team players,-,€75Th.,Defensive Midfield,Costa Rica,Venezuela
6297,Andrés Montalbán,https://www.transfermarkt.com/andres-montalban/profil/spieler/234505,"Jul 1, 2017",CS Uruguay,FC Moravia,"Jun 6, 1992 ",28.0,No national team players,-,-,Right-Back,Costa Rica,Costa Rica
6298,Joseph Azofeifa,https://www.transfermarkt.com/joseph-azofeifa/profil/spieler/372733,"Jul 1, 2017",CS Uruguay II,FC Moravia,"Jan 25, 1996 ",24.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6299,Samuel Román,https://www.transfermarkt.com/samuel-roman/profil/spieler/473750,"Jul 1, 2017",Herediano U20,FC Moravia,"Mar 7, 1998 ",22.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6300,Óscar Zúñiga,https://www.transfermarkt.com/oscar-zuniga/profil/spieler/364453,"Jul 1, 2017",Herediano U20,FC Moravia,"Sep 11, 1997 ",22.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
6301,Michael Mora,https://www.transfermarkt.com/michael-mora/profil/spieler/195416,"Jul 1, 2017",Unknown,FC Moravia,"Sep 15, 1983 ",36.0,No national team players,-,-,Centre-Forward,Unknown,Costa Rica
6302,Brandón Bonilla,https://www.transfermarkt.com/brandon-bonilla/profil/spieler/448192,"Jul 1, 2017",Guadalupe FC,FC Moravia,"Aug 10, 1996 ",24.0,No national team players,-,€75Th.,Left-Back,Costa Rica,Costa Rica
6303,Roberto Rojas,https://www.transfermarkt.com/roberto-rojas/profil/spieler/195420,"Jul 1, 2017",Juv. Escazuceña,FC Moravia,"Dec 20, 1986 ",33.0,No national team players,-,-,Left-Back,Costa Rica,Costa Rica
6304,Josué Abarca,https://www.transfermarkt.com/josue-abarca/profil/spieler/378519,"Jan 1, 2018",Carmelita U17,FC Moravia,"Jan 4, 2000 ",20.0,No national team players,-,€50Th.,Left Midfield,Costa Rica,Costa Rica
6305,Brayan Castillo,https://www.transfermarkt.com/brayan-castillo/profil/spieler/349810,"Jul 1, 2017",CS Uruguay Yth.,FC Moravia,"Mar 19, 1997 ",23.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
6306,Randy Taylor,https://www.transfermarkt.com/randy-taylor/profil/spieler/449046,"Jul 1, 2017",Guadalupe U20,FC Moravia,"Jan 3, 1998 ",22.0,No national team players,-,-,Left Winger,MX,Costa Rica
6307,Sergio Ramírez,https://www.transfermarkt.com/sergio-ramirez/profil/spieler/401443,"Jul 1, 2017",Guadalupe U20,FC Moravia,"Mar 13, 1998 ",22.0,No national team players,-,-,Centre-Forward,MX,Costa Rica
6308,Eduardo Touborne,https://www.transfermarkt.com/eduardo-touborne/profil/spieler/195423,"Jan 27, 2015",CS Uruguay,Turrialba,"Feb 24, 1990 ",30.0,No national team players,-,-,Left-Back,Costa Rica,Costa Rica
6309,Fabián Rojas,https://www.transfermarkt.com/fabian-rojas/profil/spieler/122715,"Jan 19, 2015",CS Uruguay,Turrialba,"May 24, 1988 ",32.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
6310,Rodolfo Gabriels,https://www.transfermarkt.com/rodolfo-gabriels/profil/spieler/233434,"Jul 11, 2013",CS Uruguay,Turrialba,"Jul 24, 1987 ",33.0,No national team players,-,-,Right Midfield,Costa Rica,Costa Rica
6311,Samuel Gómez,https://www.transfermarkt.com/samuel-gomez/profil/spieler/525124,"Jul 16, 2020",CS Uruguay,Turrialba,"Mar 24, 1999 ",21.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
6312,Ronny Fernández,https://www.transfermarkt.com/ronny-fernandez/profil/spieler/193835,"Jan 1, 2016",Belén FC,Turrialba,"Feb 1, 1981 ",39.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
6313,Rigoberto Jiménez,https://www.transfermarkt.com/rigoberto-jimenez/profil/spieler/229929,"Jul 1, 2012",Orión FC,Turrialba,"Feb 21, 1989 ",31.0,No national team players,-,-,Left-Back,Costa Rica,Costa Rica
6314,Johnny Martínez,https://www.transfermarkt.com/johnny-martinez/profil/spieler/514906,"Jan 1, 2018",UCR,Turrialba,"Jun 2, 1991 ",29.0,No national team players,-,-,Right Midfield,Costa Rica,Costa Rica
6315,Eduardo Valverde,https://www.transfermarkt.com/eduardo-valverde/profil/spieler/210377,"Jul 1, 2015",UCR,Turrialba,"Apr 10, 1982 ",38.0,Costa RicaNo current national team players,4,-,Right Midfield,Costa Rica,Costa Rica
6316,Adrián Marrero,https://www.transfermarkt.com/adrian-marrero/profil/spieler/214826,"Jan 1, 2018",AD Carmelita,Turrialba,"Jan 22, 1986 ",34.0,No national team players,-,-,Right Midfield,Costa Rica,Costa Rica
6317,Maikol Barrantes,https://www.transfermarkt.com/maikol-barrantes/profil/spieler/383938,"Jul 14, 2020",Santos FC,Turrialba,"Nov 13, 1992 ",27.0,No national team players,-,€75Th.,Left-Back,Costa Rica,Costa Rica
6318,Jorge Davis,https://www.transfermarkt.com/jorge-davis/profil/spieler/132226,"Jul 1, 2019",Santos FC,Turrialba,"Nov 8, 1985 ",34.0,Costa RicaNo current national team players,4,-,Defensive Midfield,Costa Rica,Costa Rica
6319,Cristhiam Lagos,https://www.transfermarkt.com/cristhiam-lagos/profil/spieler/158352,"Jan 1, 2020",Santos FC,Turrialba,"Aug 17, 1984 ",36.0,Costa RicaNo current national team players,2,-,Centre-Forward,Costa Rica,Costa Rica
6320,Mauricio Salas,https://www.transfermarkt.com/mauricio-salas/profil/spieler/372814,"Jan 1, 2020",Santos FC,Turrialba,"Feb 9, 1997 ",23.0,No national team players,-,-,Defensive Midfield,Costa Rica,Costa Rica
6321,Diego Ramírez,https://www.transfermarkt.com/diego-ramirez/profil/spieler/260779,"Jan 1, 2014",Cartaginés,Turrialba,"Aug 11, 1992 ",28.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
6322,Kelvin Acuña,https://www.transfermarkt.com/kelvin-acuna/profil/spieler/314408,"Jan 1, 2015",Cartaginés,Turrialba,"Jan 20, 1995 ",25.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6323,Deibid Herrera,https://www.transfermarkt.com/deibid-herrera/profil/spieler/322127,"Jul 1, 2015",Cartaginés,Turrialba,"Mar 22, 1996 ",24.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
6324,Kevin Pereira,https://www.transfermarkt.com/kevin-pereira/profil/spieler/322168,"Aug 21, 2017",Cartaginés,Turrialba,"Oct 8, 1996 ",23.0,No national team players,-,-,Right-Back,Costa Rica,Costa Rica
6325,Kevin Pereira,https://www.transfermarkt.com/kevin-pereira/profil/spieler/322168,"Jan 1, 2018",Cartaginés,Turrialba,"Oct 8, 1996 ",23.0,No national team players,-,-,Right-Back,Costa Rica,Costa Rica
6326,Steven Granados,https://www.transfermarkt.com/steven-granados/profil/spieler/442526,"Jan 1, 2018",Cartaginés,Turrialba,"Nov 29, 1996 ",23.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
6327,Sergei James,https://www.transfermarkt.com/sergei-james/profil/spieler/195466,"Jan 1, 2015",Limón FC,Turrialba,"Dec 29, 1989 ",30.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
6328,Keishan Davis,https://www.transfermarkt.com/keishan-davis/profil/spieler/253146,"Jan 19, 2015",Limón FC,Turrialba,"Jun 16, 1992 ",28.0,No national team players,-,-,Right Midfield,Costa Rica,Costa Rica
6329,Fernando Brenes,https://www.transfermarkt.com/fernando-brenes/profil/spieler/335190,"Jan 12, 2015",Limón FC,Turrialba,"Nov 17, 1994 ",25.0,No national team players,-,€125Th.,Centre-Back,Costa Rica,Costa Rica
